date,china_real_gdp
1998-01-01,7.3
1998-04-01,7
1998-07-01,7.9
1998-10-01,9.2
1999-01-01,9
1999-04-01,7.9
1999-07-01,7.7
1999-10-01,6.8
2000-01-01,8.8
2000-04-01,9.2
2000-07-01,8.9
2000-10-01,7.6
2001-01-01,9.5
2001-04-01,8.6
2001-07-01,8
2001-10-01,7.5
2002-01-01,9
2002-04-01,8.9
2002-07-01,9.7
2002-10-01,9.2
2003-01-01,11.2
2003-04-01,9.2
2003-07-01,10.1
2003-10-01,10.1
2004-01-01,10.6
2004-04-01,11.6
2004-07-01,9.8
2004-10-01,8.8
2005-01-01,11.2
2005-04-01,11.1
2005-07-01,10.9
2005-10-01,12.4
2006-01-01,12.4
2006-04-01,13.6
2006-07-01,12.2
2006-10-01,12.5
2007-01-01,13.6
2007-04-01,14.9
2007-07-01,14.2
2007-10-01,13.9
2008-01-01,11.6
2008-04-01,11
2008-07-01,9.5
2008-10-01,7.1
2009-01-01,6.4
2009-04-01,8.2
2009-07-01,10.6
2009-10-01,11.9
2010-01-01,12.2
2010-04-01,10.7
2010-07-01,9.9
2010-10-01,9.9
2011-01-01,10.1
2011-04-01,9.9
2011-07-01,9.3
2011-10-01,8.7
2012-01-01,8.1
2012-04-01,7.7
2012-07-01,7.5
2012-10-01,8.1
2013-01-01,7.9
2013-04-01,7.6
2013-07-01,7.9
2013-10-01,7.7
2014-01-01,7.6
2014-04-01,7.7
2014-07-01,7.3
2014-10-01,7.4
2015-01-01,7.1
2015-04-01,7.1
2015-07-01,7
2015-10-01,6.9
2016-01-01,6.8
2016-04-01,6.7
2016-07-01,6.7
2016-10-01,6.8
2017-01-01,7
2017-04-01,7
2017-07-01,6.9
2017-10-01,6.8
2018-01-01,6.9
2018-04-01,6.9
2018-07-01,6.7
2018-10-01,6.5
2019-01-01,6.4
2019-04-01,6.1
2019-07-01,6
2019-10-01,5.9
2020-01-01,-6.8
2020-04-01,3.2
2020-07-01,4.9
2020-10-01,6.5
2021-01-01,18.9
2021-04-01,8.1
2021-07-01,5.5
2021-10-01,4.5
2022-01-01,4.8
2022-04-01,0.8
2022-07-01,4
2022-10-01,3
2023-01-01,4.7
2023-04-01,6.5
2023-07-01,5
