date,hk_exports_china_yoy
1998-01-01,4.4333
1998-04-01,-3.0333
1998-07-01,-12.2000
1998-10-01,-18.9333
1999-01-01,-14.8000
1999-04-01,-11.0000
1999-07-01,4.6667
1999-10-01,10.0000
2000-01-01,22.7333
2000-04-01,22.7667
2000-07-01,22.9000
2000-10-01,17.2333
2001-01-01,10.0333
2001-04-01,1.3333
2001-07-01,4.2500
2001-10-01,-7.9000
2002-01-01,2.5333
2002-04-01,8.2000
2002-07-01,12.8000
2002-10-01,25.3000
2003-01-01,27.9667
2003-04-01,20.7667
2003-07-01,16.4667
2003-10-01,21.1667
2004-01-01,17.1667
2004-04-01,22.1667
2004-07-01,23.0333
2004-10-01,17.1667
2005-01-01,13.6333
2005-04-01,14.7000
2005-07-01,14.2667
2005-10-01,14.4333
2006-01-01,21.2667
2006-04-01,8.7000
2006-07-01,13.5000
2006-10-01,17.0000
2007-01-01,12.9000
2007-04-01,15.9000
2007-07-01,12.8000
2007-10-01,11.1333
2008-01-01,11.6667
2008-04-01,7.9667
2008-07-01,5.9000
2008-10-01,-2.3667
2009-01-01,-22.6000
2009-04-01,-4.6667
2009-07-01,-7.6667
2009-10-01,5.6000
2010-01-01,39.7333
2010-04-01,25.8667
2010-07-01,31.4333
2010-10-01,13.7000
2011-01-01,28.6333
2011-04-01,4.2667
2011-07-01,0.3000
2011-10-01,9.4000
2012-01-01,-1.1333
2012-04-01,3.9333
2012-07-01,11.5000
2012-10-01,12.5000
2013-01-01,7.4667
2013-04-01,5.4000
2013-07-01,4.2333
2013-10-01,4.8667
2014-01-01,-0.7667
2014-04-01,5.4333
2014-07-01,4.6667
2014-10-01,-2.0333
2015-01-01,0.7000
2015-04-01,-3.6667
2015-07-01,-4.2333
2015-10-01,-1.6000
2016-01-01,-8.4333
2016-04-01,-0.7000
2016-07-01,1.0000
2016-10-01,12.9500
2017-01-01,15.3667
2017-04-01,6.7000
2017-07-01,9.0333
2017-10-01,6.0667
2018-01-01,11.9333
2018-04-01,11.6667
2018-07-01,11.1333
2018-10-01,1.3667
2019-01-01,-6.4333
2019-04-01,-5.3333
2019-07-01,-5.6333
2019-10-01,4.5333
2020-01-01,0.0667
2020-04-01,6.1667
2020-07-01,6.9333
2020-10-01,8.0333
2021-01-01,40.6667
2021-04-01,28.0000
2021-07-01,22.5000
2021-10-01,22.1333
2022-01-01,-0.2667
2022-04-01,-9.9667
2022-07-01,-12.8667
2022-10-01,-24.3333
2023-01-01,-22.0667
2023-04-01,-14.5000
2023-07-01,-8.8000
2023-10-01,9.8333
2024-01-01,21.9000
2024-04-01,18.9333
2024-07-01,16.0667
2024-10-01,9.1333
2025-01-01,17.6000
2025-04-01,19.6333
2025-07-01,13.6667
2025-10-01,17.0333
2026-01-01,34.0000
2026-04-01,40.7000
