variable,horizon,n_windows_VAR,RMSE_VAR,RMSE_VECM,MAE_VAR,MAE_VECM,RMSE_winner,MAE_winner
china_gdp,1,25,0.35421730740180185,0.688046712433606,0.27768256959288173,0.5376501903276808,VAR,VAR
china_gdp,2,25,0.4823034068456006,0.7223946384790563,0.3707716891374531,0.6143703051496283,VAR,VAR
china_gdp,3,25,0.5798659873518651,0.5579500650053527,0.4388078474346506,0.45004697001407556,VECM,VAR
china_gdp,4,25,0.7197557150617689,0.6598867044416813,0.5554204043812913,0.5006879056058452,VECM,VECM
cpi_inflation,1,25,0.31127686173423336,0.7290755195846604,0.2561663178249506,0.5732605930771691,VAR,VAR
cpi_inflation,2,25,0.3004784958670098,0.6569940700279792,0.252817067302597,0.5597258637379184,VAR,VAR
cpi_inflation,3,25,0.3024387446438864,0.5083775339879582,0.2465649680118937,0.4128831080271007,VAR,VAR
cpi_inflation,4,25,0.2948388013494455,0.5214089343657614,0.24237258115503413,0.44154854139404065,VAR,VAR
gdp_growth,1,25,0.40431642898235937,2.794306915588536,0.3154785014117021,2.6991873895514646,VAR,VAR
gdp_growth,2,25,0.40332707559142955,2.853099954884661,0.31745318281929047,2.765637373416488,VAR,VAR
gdp_growth,3,25,0.39550449621697764,1.8984446777184627,0.32288916615694446,1.8095431968889821,VAR,VAR
gdp_growth,4,25,0.39868660322393545,1.9228954596198877,0.32576627405644887,1.8242495357373048,VAR,VAR
hibor_3m,1,25,0.24456166315356317,1.6251963430518406,0.20931233686440037,1.5867159899609238,VAR,VAR
hibor_3m,2,25,0.29768237915981366,1.1797026989703339,0.24127879376953895,1.068311022040526,VAR,VAR
hibor_3m,3,25,0.3503435648219704,0.7944439844512757,0.27665947068409025,0.7059248287582366,VAR,VAR
hibor_3m,4,25,0.41475303657857115,0.9274667360857378,0.34443709815943097,0.8128200209052302,VAR,VAR
unemployment,1,25,0.2829764350384332,2.414415836924243,0.23370651925087682,2.3066401554076137,VAR,VAR
unemployment,2,25,0.2666019508520237,2.5438147591084515,0.20967115477725584,2.416206242641782,VAR,VAR
unemployment,3,25,0.23454326763581881,1.5372204415035535,0.18910751595989933,1.419414845093296,VAR,VAR
unemployment,4,25,0.236974141076685,1.6422708800896553,0.19123761752745932,1.5269952814130343,VAR,VAR
us_ffr,1,25,0.18065711506977267,0.31760329883163085,0.1536915097682278,0.2645272706107242,VAR,VAR
us_ffr,2,25,0.2488336234259602,0.5202939673461449,0.1992551360310547,0.38624290322033056,VAR,VAR
us_ffr,3,25,0.30936652650005886,0.4836722942562871,0.23984972705475877,0.3679071232745318,VAR,VAR
us_ffr,4,25,0.3606270145442962,0.4566660372536819,0.2908165386596769,0.37120524453152187,VAR,VAR
